,name,description,category
209,Renowned Irish pub Gibney’s launches in London,"In a nutshell: Gibney’s pub to open below Daffodil Mulligan Summing it all up: Daffodil Mulligan restaurant, the latest venture from chef Richard Corrigan in Shoreditch has announced its new bar in the basement – and it’s a big one – the first international outpost of the renowned Gibney’s pub, which opened in Dublin over 80 years ago.",Entertainment
1,Democratic Republic of the Congo,"the provinces of Kasaï, Kasaï Central, Kasaï Oriental, Haut-Uele, Haut Lomami, Ituri, North Kivu (except the city of Goma - see below), South Kivu (except the city of Bukavu - see below), Maniema and Tanganyika in eastern DRC areas to the west and east of Kananga, including Tshikapa and Mwene-Ditu (as shown on the map) within 50km of the ...",World
197,The Witcher Netflix show helped game sales to jump 554 percent,"US physical sales of The Witcher 3: Wild Hunt in December 2019 were up 554 percent compared to December 2018, according to NPD data. The significant year-on-year increase coincided with the release of the live-action Netflix series, which Netflix claimed is itself on target to become its biggest debut season for a TV show to date. 76 million ...",Entertainment
104,New tax relief for commercial structures and buildings,QUESTION: My business has successfully expanded over the last three years and I'm planning to build new business premises as we have out grown our current facilities. I have identified a new site close to our existing premises and I plan to build a new factory. What tax reliefs are available to my business? ANSWER: It has long been a ...,Business
226,Cesar Awards: 'French Oscars' board quits en-masse amid backlash over Polanski nominations,"The leaders of the Cesar Awards, the French equivalent of the Oscars, have resigned en-masse after controversy surrounding director Roman Polanski. Polanski’s film An Officer and a Spy, about Jewish French officer Alfred Dreyfus, leads with 12 nominations ahead of the ceremony. The film was launched in France last year just days after a ...",Entertainment
623,Popular East Ayrshire eaterie taken over by new owners and set for revamp,"Gareth Kelly, who owned Bakers Nightclub for a number of years before recently selling up, and Mikey Lennon who now co-owns Bakers will be in charge of the Main Road venue from Thursday. A popular Fenwick pub and restaurant will be taken over by new owners this week. Gareth Kelly, who owned Kilmarnock's Bakers Nightclub for a number of years ...",UK
314,Aggie MacKenzie’s 5 simple movements for a healthier lifestyle,"Two years ago, after taking a tough 18-month yoga teacher training course, How Clean is Your House star and Celebrity Masterchef contestant Aggie MacKenzie swapped her life as a TV star for the rewarding role of a yoga teacher. Now, the fabulous presenter is getting ready to host two relaxing yoga retreats in Tuscany which are exclusive to ...",Health
504,Vazen releases 28mm T/2.2 1.8x anamorphic lens for MFT,"Vazen, a new cinema lens brand based in China, has announced a 28mm T/2.2 1.8x anamorphic lens for Micro Four Thirds cameras. The new Vazen lens follows the 40mm T/2 launched last year and will be part of a series that will eventually be completed by a 65mm, which is due for release in a few months. The Vazen 28mm T2.2 cine lens weighs just 0 ...",ScienceAndTechnology
433,'Genetic afterlife' could see intimate DNA details revealed after death,"People who donate DNA to ancestry websites or medical databases are inadvertently signing up to a ""genetic afterlife"" in which intimate details could be revealed after their death, ethicists have warned. Millions of people have given away swabs containing their genetic code to research projects, websites that compile family trees or nutrition ...",ScienceAndTechnology
285,Coronavirus: domestic helper tests positive taking total number of confirmed cases in city to 61,"A domestic helper whose employer was earlier diagnosed with the coronavirus has also been infected, taking the total number of confirmed cases in Hong Kong to 61, a source told the Post on Tuesday.The foreign helper is being treated at Pamela Youde Nethersole Eastern Hospital in Chai Wan. She works for a 67-year-old woman who was confirmed as ...",Health
295,Children feared ‘lost to the system’ by failing service,Problem service faces ongoing staffing and assessment delays Issues identified with handover of notes Follows HSJ revelations commissioners paid “minimal” oversight to service Parents fear their children have been “lost to the system” because of problems with staffing and assessment delays in a failing service. The autism assessment ...,Health
364,Days of unregulated yeshivot could be over as new powers to inspect unregistered schools,"The days of unregulated yeshivot could soon be over after the Department for Education (DfE) announced plans to introduce new powers to inspect unregistered schools. More than 1,000 boys from 13 to 16 in Hackney are estimated to be learning in yeshivot ...",Politics
280,Birmingham woman with months to live would get treatment funded if she lived in England,"She first suspected something might be wrong while on a family holiday in Bulgaria with her grandchildren A Birmingham-born woman with terminal cancer would be able to have her life-extending treatment funded if she lived in England. Lillian Evans, aged 62, now lives in Wales, having been born in the Second City. Heartbreakingly, she received ...",Health
228,Opioid vending machine opens in Vancouver,MySafe scheme for addicts aims to help reduce overdose deaths in Canadian city,Health
134,Small firms “unable to pay for the best lawyers”,"Smaller law firms are unable to pay the high salaries that top candidates for jobs are demanding and this is putting them under economic pressure, a survey of 4,000 practices has concluded. But offering other benefits, such as flexible working, were also increasingly important retention tools. The survey found that a majority of law firms (54% ...",Business
399,Independent Scotland will need more than ‘empathy’,"Kirsty Hughes is director of the Scottish Centre on European Relations. EDINBURGH — On Sunday, former European Council President Donald Tusk said Brussels would surely be full of empathy and enthusiasm if an independent Scotland wanted to rejoin the European Union. Certainly, Brexit has shifted EU attitudes toward a potentially independent ...",Politics
149,Steve Coogan: We ignore the imbalance between rich and poor,"Having spent a lot of time in Greece lately - filming his new movie Greed, and the final series of The Trip - Steve Coogan is in a suitably philosophical mood. Reflecting on capitalism and his own career (from inside a fancy London hotel) he's poised like ...",Entertainment
396,NHSX responds to Networks’ letter to get CCIOs and CIOs on trust boards,"A Heads of Profession for CCIOs and CIOs and a Director of Workforce will be established within NHSX to “get things right” with digital transformation across the health service. Responding to an open letter from the Digital Health Networks, Matthew Gould and Dr Simon Eccles, chief executive and deputy chief executive of NHSX, agreed that ...",Politics
429,Swansea-based Inbound Marketing Agency Becomes Wales’ No 1,"Swansea based Inbound Marketing Agency Realinbound announced it has become Wales’s leading HubSpot partner agency and achieved the prestigious HubSpot Gold Status for its work with its clients and the worldwide marketing, sales and service software giant. Co-founder Tony Dowling said, ‘Our recent client acquisitions have taken us to Number ...",ScienceAndTechnology
432,Earthmoving Equipment Market Is Expected To Reach US$ 145 Bn by 2026,"According to a new market report published by Credence Research Inc “Earthmoving Equipment Market – Growth, Share, Opportunities, Competitive Analysis, and Forecast, 2016 – 2026,” the global earthmoving equipment market expected to witness significant growth throughout the forecast period with a resurgence in the global construction ...",ScienceAndTechnology
693,Man in his 20s dead after BMW M3 crashes and catches fire,"The crash, involving a white BMW M3, occurred on the Brotherhood roundabout near Lincoln Road at around 1.30am on Sunday, February 16. Paramedics and fire crews were quickly on scene after the performance car caught fire, but the young man died at the scene. Another man was seriously injured in the crash and remains in hospital. A spokesman for ...",UK
290,How does it feel to be homeless?,"A new photography commission seeks to create an honest and intimate portrait of homelessness in London. British Journal of Photography and CALM, a charity leading the movement against suicide, has launched an open call to commission one 1854 Access Member to document the lives of homeless people in London. The photographer will also mentor ten ...",Health
41,"Sudan’s elite are selling out to the Gulf regimes, and the Palestinian cause is a victim","The anti-government protests in Sudan over the past five decades are part of a vicious circle in a region rife with sectarian and political conflicts. Ever since long-serving ruler Omar Al-Bashir was overthrown last April, the country has been in the midst of a political crisis. A deepening identity crisis also lurks there, with foreign ...",World
592,Diego Costa trains with Atletico Madrid squad ahead of Liverpool match,"Atletico Madrid forward Diego Costa is training with his teammates ahead of the club's meeting with Liverpool at Wanda Metropolitano on Tuesday. The Reds return to the ground for the first time since winning the Champions League trophy in May and could have to face a fit again Costa. According to Sky Sports News, the former Chelsea player could ...",Sports
331,Slow start adds pressure on UK to deliver climate summit success,"The UK’s preparations for COP26, the United Nations’ climate conference, have had a rocky start. The head of the summit, Claire O’Neill, was unceremoniously fired just days before the event’s launch amid rumours that the meeting’s venue could shift from Glasgow to another city. More than a week later, she was replaced by Alok Sharma ...",Politics
518,Hamlin wins Daytona 500 as Newman hospitalized in horrific final-turn wreck,Denny Hamlin won a crash-filled Daytona 500 on Monday following a rare postponement for rain after Ryan Newman wrecked on the final lap,Sports
338,Universal credit extension delayed over fears new benefit is pushing people into poverty and homelessness,"Plans to extend universal credit to another 3 million claimants have been shelved because of fears the new benefit is pushing people into poverty and homelessness. Amber Rudd, the new work and pensions secretary, has bowed to pressure to delay the next ...",Politics
162,Love Island Pays Tribute to Caroline Flack After Her Death: 'You Were a True Friend',"Ahead of Monday evening’s episode, narrator Iain Stirling delivered an emotional message to his late friend in a video shared by the show’s Twitter account. “We are all absolutely devastated by the tragic news that Caroline, a much loved member of our Love Island family, has passed away,” Stirling, 32, begins as a scene of waves hitting ...",Entertainment
522,Newcastle stars including Danny Rose involved in train bust-up with fan on way home after Arsenal humiliation,"FOUR Newcastle players were involved in a bust-up with fans on the train home from Sunday's 4-0 loss at Arsenal. Having chosen against travelling back with the squad on the Magpies' chartered flight due to high winds, Danny Rose, Nabil Bentaleb, Allan Saint-Maximin and Christian Atsu shared the journey back to Tyneside with some of the Toon Army.",Sports
562,Yorkshire’s Super League Team of the Week – Leeds Rhinos lead way in latest star-studded line-up,"With a big win for Leeds Rhinos against Hull KR it is perhaps no surprise they have five players in this week’s Team of the Week. Full-back: Jack Walker (Leeds Rhinos) – Darnell McIntosh went well for Huddersfield but Walker fizzed around all night for Leeds, scoring one try, assisting for another and popping up to use his pace to hurt Hull ...",Sports
678,Scandal of tenant rescued from ledge ends with huge fine,A resident who was unable to access an emergency escape route during a fire was found standing on a windowsill hanging from guttering and had to be rescued by firefighters. Management company Harper Stone Properties Ltd has been fined after pleading guilty to a series of fire safety failings following the 2016 blaze at the block of flats in ...,UK
94,ALEX BRUMMER: Only people making money in many sub-performing funds are managers,"Savers, pension funds and other clients who have placed their faith in the active management skills of Jupiter and Merian Global Investors would be entitled to ask what they stand to gain from such a merger. Performance at quoted Jupiter has been lagging amid fund outflows of £4.5 billion in 2019. Chief executive Andrew Formica is seeking to ...",Business
144,High street big names to create ‘conveyancing powerhouse’,"Two big high street names are in advanced talks to merge with an eye on the conveyancing market, the Gazette understands. Taylor Rose TTKW and McMillan Williams want to come together to create a 'conveyancing powerhouse' according to sources close to the deal. The firms have been in talks over the weekend and hope to agree details by the end of ...",Business
155,Will there be a season 5 of The Grand Tour on Amazon Prime?,"Get in gear, petrol-heads: it looks like The Grand Tour, Amazon’s car-based reality show hosted by Jeremy Clarkson, James May and Richard Hammond, will be returning for another lap. With the fourth season having been released on Friday, December 13th ...",Entertainment
63,"Iran, Iraq establish committee to prosecute US officials over Soleimani assassination","Senior officials in Iran and Iraq have decided to establish a joint committee to prosecute the US officials involved in the assassination of Iranian General Qasem Soleimani, Iranian IRNA Agency reported. IRNA revealed that the decision came during a meeting held on Sunday between the Iranian deputy justice minister for human rights and ...",World
106,Minutes of the Monetary Policy Meeting of the Reserve Bank Board,"Members commenced their discussion of the global economy by noting the International Monetary Fund's forecast for global growth to pick up in 2020 and 2021. The easing in trade tensions between the United States and China, and ongoing stimulus delivered by central banks, had supported a modest improvement in the growth outlook for a number of ...",Business
242,UK-first as patient plays violin while undergoing brain surgery,"A woman has successfully had a brain tumour removed while playing her violin during the procedure in a UK-first. Professional musician Dagmar Turner underwent brain surgery at King's College Hospital, London to remove a benign tumour. After starting the operation under general anaesthetics, surgeons woke Ms Turner to play her instrument ...",Health
236,"Be Careful! Young and Doing Exercising Regularly Do not Guarantee Someone of Heart Attack, This is the Cause","News24xx.com - Actor from Malaysia, Ashraf Sinclair, reportedly died this morning, Tuesday (18 February 2020). The husband of the singer Bunga Citra Lestari (BCL) died of a heart attack at the age of 40 years. Yet in an interview opportunity, Ashraf claimed to be very fond of exercising at the fitness center. One of the things he used to do was ...",Health
474,Burger King is testing a new sandwich that’s just like the classic chip butty,"Burger King may be renowned for its tasty meat patties, but it is currently trialling a brand new sandwich that is completely burger free. The fast food chain is in the process of trying out its own unique take on the UK’s classic chip butty - but it is only available in New Zealand at the moment. The sandwiches are currently available at ...",ScienceAndTechnology
603,Ryan Newman undergoing treatment after scary Daytona wreck,"Ryan Newman is in serious but non-life-threatening condition after suffering a massive wreck in the NASCAR Cup Series‘ season-opening Daytona 500. Hours after the race, NASCAR and his Roush Fenway Racing team released a statement confirming Newman’s health after being taken to Halifax Medical Center. “Ryan Newman is being treated at ...",Sports
124,Boris Johnson’s HS2 decision shows post-Brexit Britain is open for business - Beckie Hart,"The upcoming Budget – which Richmond MP Rishi Sunak will now preside over as Chancellor – will set this train in motion, with bold action on skills, net zero, innovation and infrastructure in Yorkshire to kick-start new decade of growth and investment. Not just one announcement, or one year, but a decade of commitment to help us deliver our ...",Business
252,"Babies kept from mothers' touch in earliest weeks have disadvantages in later life, study finds","Premature or underweight babies kept in an incubator away from the touch of their mothers for their first few weeks suffer physical and emotional problems that can damage their lives, a 20-year study suggests. Israeli researchers presented their findings after following the progress of 146 pre-term babies – half of whom were separated from ...",Health
632,"Ayrshire police investigate sudden death of Kilmarnock woman, 29","Officers have said that the death is being treated as unexplained. Police are investigating the sudden death of a Kilmarnock woman last night. A 29-year-old was found in a property on the town's Mosshead Road, in between the Shortlees and Bellfield areas of the town. ""The death is currently being treated as unexplained, although there are no ...",UK
283,Michael Schumacher health: Whatever happened to F1 legend’s ‘miracle’ treatment? Hamilton closing in to match Schumi’s record,"Micheal Schumacher’s health is one of the things that fans are most curious about. This is because he has been out of the limelight since his unfortunate accident in 2013, and his family continues to refuse to share details of his recovery. Fans are only getting some updates from the news reports, and the media tried their best to obtain bits ...",Health
29,Brent primary students stage climate march,"Around 35 pupils from Roe Green Junior School walked from their school to Kingsbury high street on Friday, February 14. Valentines Day was chosen as the children wanted to express their ""love for the Earth"". Accompanied by staff, the students chanted ""pollution has to go"" and ""plastic is a no"". Handmade signs built of school rulers, duct tape ...",World
279,Study identifies risk factors for endometrial cancer,"An analysis of 149 scientific studies has identified 24 genetic variants which predispose women to endometrial cancer. The systematic review, led by Emma Crosbie, Professor of Gynaecological Oncology from The University of Manchester, part of the NIHR Manchester Biomedical Research Centre (BRC), could help scientists develop targeted screening ...",Health
549,Reporter: Liverpool FC in ‘advanced talks’ to sign 23-year-old German striker,"Liverpool FC are in advanced talks to sign RB Leipzig forward Timo Werner, according to Italian reporter Nicolo Schira. The Reds have been heavily linked with a move to sign the Germany international over the past couple of weeks. Werner has been a player that has been regularly linked with a switch to Liverpool FC since Jurgen Klopp’s ...",Sports
352,Dom And Dumber? What The Race And IQ Adviser Row Tells Us About No.10,"The driving narrative of Boris Johnson’s election campaign - and now of his government - is that he represents the mainstream, not the extreme. From sorting Brexit’s first stage, to pumping cash to the NHS, to being ‘tough’ on crime and immigration, he managed to unite former Labour heartlands with Tory Home Counties. Don’t forget too ...",Politics
445,How much will Disney+ cost in the UK?,"And the latest player to join the streaming wars is…Disney! The House of Mouse have launched their own streaming service, Disney+, a platform promising a giant library of film and TV shows – including the best Fox, Marvel and Pixar titles. Intending to rival the likes of giants Netflix and Amazon Prime Video, Disney will be hoping to shake ...",ScienceAndTechnology
286,Trio of New Appointments Bolsters Welsh Food Industry Initiative,"A trio of new appointments at Cardiff Metropolitan University’s ZERO2FIVE Food lndustry Centre will boost the organisation’s technical capacity. Lee Pugh, Lucy Llewellyn and Sergio Ardu all bring different areas of technical expertise to ZERO2FIVE, which delivers Project HELIX, a Welsh Government and EU-funded strategic initiative that ...",Health
359,Former SNP minister Derek Mackay does not face arrest over text message scandal,"Derek Mackay does not face arrest over the text message scandal which led to his dramatic fall from grace, police have confirmed. The former finance secretary, 42, stunned the Scottish political world when it was revealed he had sent hundreds of messages ...",Politics
507,Open Source Graphics App MyPaint 2.0 Released with Major Improvements,"Open source artists should check out the latest release of MyPaint, as it scored a substantial update this weekend. The new MyPaint 2.0.0 release succeeds MyPaint 1.2, released back in 2017, and brings a stack of new features and improved tools with it. MyPaint is notable for its compatibility with Wacom graphics tablets (and similar devices ...",ScienceAndTechnology
183,Caroline Flack’s boyfriend Lewis Burton speaks out for first time since her death,"Lewis Burton has publicly spoken out for the first time since the death of his girlfriend, Love Island host Caroline Flack, yesterday. He shared a post on Instagram and wrote beside a picture of them: “My heart is broken we had something so special. I am so lost for words I am in so much pain I miss you so much I know you felt safe with me ...",Entertainment
117,The Big Interview: HRM Homecare Services MD Lynn Laughland,"She has for more than 25 years led her own care-at-home provider working in Scotland’s Central Belt, aiming to help people to remain living in their homes independently for as long as possible. Lynn Laughland is managing director of Kilmarnock-based HRM Homecare Services, which is focused on older people, children and families, and those with ...",Business
490,How your old mattress can help the environment,"To enjoy the CBBC Newsround website at its best you will need to have JavaScript turned on. WATCH: De'Graft finds out how old mattresses are being turned into gardens More than 7.5 million mattresses are thrown away every year - enough to fill Wembley Stadium approximately five times! Although some are recycled, with the mattresses torn apart ...",ScienceAndTechnology
505,Tip: Seven smartphone apps for photo editing,Advanced photo editing was once the domain of the Photoshop wizards - the only people in the newsroom able to work with complicated pieces of desktop software. Times have changed and you can now use an array of tools on your smartphone to make photos look outstanding. See for yourself by checking out these seven editing apps rounded up by Katya ...,ScienceAndTechnology
647,Edinburgh submits plan for Meadowbank development,"17 hours Edinburgh City Council has lodged the masterplan for a development of 600 homes around the new Meadowbank sports centre. The development has been designed in collaboration with members of the local community through a programme of public engagement that began in June 2018. The aim is for a low-car, sustainable development that pays ...",UK
143,Comment: The 2010s marked an unsung crisis in law firm leadership,"Astute readers will note that our cover feature on 2020 forecasts spends as much time casting its eye back on the 2010s as looking ahead. Assessments based on observable trends support conclusions that better stand the test of time, but such introspection has lent a jaded tone to the resulting piece. How could it not? The 2010s was a decade ...",Business
642,Ipswich nursery wins 'outstanding' rating in first Ofsted,"The Wellington Street nursery, which cares for 25 children aged anywhere from three months to 12 years old, opened in 2018 after benefiting from Department for Education funding to increase childcare spaces in Ipswich. And it has certainly impressed inspectors from the education regulator in a very short space of time, saying that children ...",UK
160,No 10 calls on social media firms to act after Caroline Flack death,PM’s spokesman says industry must ‘go further’ to remove unacceptable content as ITV confirms return of Love Island,Entertainment
487,Research parks can help turn the light-bulb moment of science into business success,"Based on 35 years of experience, I am a proponent of the idea that “place matters”. Businesses benefit from being located in an environment willing to share the risks involved in fostering entrepreneurship. That’s why the global research and science park movement has taken off. It is designed to support the clustering of enterprises ...",ScienceAndTechnology
534,Barcelona hit back at social media claims,Barcelona have strongly denied reports a company was hired to post negative messages on social media about some of their own players. A Spanish radio station claimed the La Liga champions wanted to protect the reputation of president Josep Maria Bartomeu and attempted to do so by hiring a social media firm to criticise key figures associated ...,Sports
233,Coronavirus: UK trying to contact Britons who left cruise ship in Cambodia,Concerns over handling of exit from MS Westerdam after one passenger later tested positive,Health
148,Amanda Holden: Stephen Tompkinson speaks out on if he still talks to Wild At Heart co-star,"Stephen Tompkinson, 54, has told how it’s always a “nostalgic” occasion when he bumps into former Wild at Heart co-star Amanda Holden. The show first aired in 2006 and spanned an astonishing seven years after that, until it’s final episode in 2013. The ITV show, which was filmed and set in South Africa, saw Stephen take on the role of a ...",Entertainment
618,The vile secrets of a paedophile found with a locked cabinet of child-sized bras - and the technology that proved he abused a young girl,"Amazing technology undid the lies of a child molester. In 2017 as part of a huge investigation into the supply of cocaine and heroin to the North West and Midlands police stopped a car being driven by Samiral Choudhury in Entwistle Street, Rochdale. A kilo of cocaine was found in the vehicle and he was arrested and later jailed for four years ...",UK
151,‘The Bachelor’ Recap: Finding Love Among Hometown Dates,"SPOILER ALERT: Do not read if you have not yet watched the eighth episode of Season 24 of “The Bachelor.” For the first glimpse of the real world in weeks, titular bachelor Peter Weber took his women back home. With only four women remaining — Hannah Ann Sluss, Kelsey Weier, Madison Prewett and Victoria Fuller — Weber accompanied each ...",Entertainment
174,Ricky Gervais heads to Brighton with SuperNature,"The venue has just announced that the iconic British comedian will perform on Wednesday, March 25 (7.30pm). Tickets go on general sale this Friday, February 21, from 10am and start at £32.50. Call the box office on 0844 8471515 or visit www.brightoncentre.co.uk. A spokesperson said: “Considered one of the most influential British comedians ...",Entertainment
52,Coronation Street's Ray Crosby makes two huge demands in blackmail plot,"Coronation Street villain Ray Crosby makes two shocking demands next week as he blackmails Abi Franklin and Kevin Webster. Ray (Mark Frost) is out for revenge after Abi stole his car and torched it in dramatic scenes last week. Viewers have just seen Kevin give Abi (Sally Carman) a false alibi for the time of the incident, but he's about to ...",World
292,"Doctors should screen patients for gambling addictions, says charity","Doctors in Northern Ireland should screen patients for gambling addictions, parents whose children took their own lives have said. Laws made “obsolete” by the growth of online betting must be “radically” toughened, according to the Gambling with Lives charity. Research shows there are between 250 and 650 suicides across the UK every ...",Health
263,Doncaster Knights Ian Williams death 'could have been prevented',"The death of a professional rugby player with a heart condition could have been prevented if he had received regular monitoring, an inquest has heard. Ian Williams, 27, a prop forward for Doncaster Knights, was diagnosed with a congenital heart condition at school. He went to hospital in February 2018 with ""cardiac symptoms"" but was sent home ...",Health
652,State-of-the-art moveable road barrier to keep Kent’s motorways moving,"Grant Shapps has pledged a new moveable road barrier that can be set up within hours and will ensure Kent's roads keep moving at times of cross-Channel disruption. After the fall out around Operation Brock, which was designed to divert a 13-mile stretch of the M20 onto a 50mph contraflow system so that the coast-bound carriageway ...",UK
476,"People at risk of having genetic and online data misused after death, experts warn","Between 2015 and 2018, sales of DNA test kits boomed in the United States and allowed websites to build a critical mass of DNA profiles (Photo: Getty) People are at increasing risk of having both their genetic and online data misused after their death as proper measures to protect their information are not currently in place, leading academics ...",ScienceAndTechnology
71,Coronavirus triggers boom in private jet inquiries,"Private jet operators have seen a big spike in requests from passengers wanting to charter their own planes during the coronavirus outbreak. With airlines scaling back flights in and out of China, some travellers are stuck inside or outside the country. The wealthy ones are turning to private jet operators to ask them to arrange flights ...",Business
170,Adele reveals date for her FOURTH album at a friend's wedding party,"Adele has taken a bit of time away from music over the past few years, with her latest album being '25' in 2015, however after the singer's manager confirmed she would be releasing new music this year, the 'Hello' singer herself revealed a release month for her new music. Revealing the exciting news at a wedding party for her friend and fellow ...",Entertainment
663,Three years for man who handled stolen goods,"A MAN who admitted handling stolen goods has been jailed for three years. James Young, 32, of Minerva Way, Cambridge pleaded guilty to six counts of handling stolen goods and possession of amphetamine and cannabis at Peterborough Crown Court on Monday (10 February). Officers from the Southern burglary team searched Young's home in July in ...",UK
547,AC Milan coach Pioli pleased with Gabbia cameo: He deserved it,Liverpool fullback Alexander-Arnold: I thank Ca... Bukayo Saka: I leave Arsenal contract talks to ... Man City leave Bayern Munich with clear run at ... Man City fullback Mendy reminds BVB: Mbappe com... RB Leipzig coach Nagelsmann: Ampadu will start ...,Sports
304,Emmerdale actress hopes to do justice to cancer storyline,"Emmerdale’s Michelle Hardwick has said she hopes to do justice to her new storyline, which has seen her character Vanessa diagnosed with bowel cancer. The vet’s illness was revealed in Monday night’s episode of the ITV soap. Her worrying news was disclosed to viewers by Pierce Harris (Jonathan Wrather) who is holding her hostage.",Health
158,ZOOT announce reunion tour dedicated to late lead singer Darryl Cotton,"Zoot, as pictured on the official poster for their 2020 reunion tour. Credit: David Roy Williams Entertainment official website Influential Australian pop rock band ZOOT have announced a reunion tour, playing their first shows in nearly 50 years in November.",Entertainment
673,Concerns raised about conditions at young offenders institution in Kent,"INSPECTORS have raised concerns about the conditions at Cookham Wood Young Offender Institution (YOI) in Kent, which holds up to 188 boys aged between 15 and 18. Cookham Wood was branded “not sufficiently good” in all areas of an inspection in September after a deterioration in quality of care since 2018. In a report published today, Chief ...",UK
491,"Some insects, lichen and moss bucking trends in UK nature declines – study","Some insects, lichen and mosses are bucking the trend of UK wildlife declines with the help of measures to improve air and water quality, research suggests. Scientists looked at the distribution of thousands of species from dragonflies to ants and lichen which have not been closely studied, to see if they were suffering the declines seen in UK ...",ScienceAndTechnology
357,Labour leadership hopeful says she would vote to abolish the monarchy,"Lisa Nandy has said she would vote to abolish the monarchy in any future referendum on the Royal Family. The Labour leadership candidate's stance was at odds with the two other candidates who remain in the running to succeed Jeremy Corbyn: Sir Keir Starmer and Rebecca Long-Bailey. However, during a live Channel 4 debate, all three politicians ...",Politics
177,Cold Feet is taking a break – but will return “when the time is right”,"Cold Feet has become synonymous with Manchester, its cast evolving along with the city’s skyline - so what will the future hold? Since its inception in 1997, Cold Feet has become synonymous with Manchester, and in the ensuing years, its cast has evolved along with the city’s skyline. Just as the characters have aged and met mid-life’s ...",Entertainment
69,Coronavirus infections slow in China as Apple becomes latest business casualty,"BEIJING/SHANGHAI (Reuters) - The number of new coronavirus infections in mainland China fell below 2,000 on Tuesday for the first time since January, although global experts warn it is still too early to say the outbreak is being contained. The economic fallout from the epidemic spread to U.S. technology titan Apple, which warned of iPhone ...",Business
383,INCOMPETENT : JUDGE CHIDES AG'S LAW OFFICERS,"The Attorney-General’s Office has come under fire for incompetence, with High Court Judge Justice Priscillah Munangati-Manongwa chiding law officers for failing to protect Government interests in litigation against the State. Apart from being the chief Government’s legal advisers, the AG’s officers are tasked to represent the State and ...",Politics
595,How good a six was the sliced six in Moeen Ali’s 11-ball 39 against South Africa?,"Moeen Ali hit four sixes in England’s last ball victory over South Africa in Durban. Because he’s Moeen Ali and hasn’t even heard of ugly batting, each and every one of them was a languid, spaghetti-armed thing of wonder. In all, Moeen hit seven lovely boundaries in his 11-ball innings. Being as the last of those 11 deliveries resulted in ...",Sports
132,London office rents to rise due to Boris bounce,"Rents for new, Grade A office space are likely to rise in many parts of London this year, a property consultancy has predicted. According to Carter Jonas, rents for prime located, new, mid-rise, Grade A space above 5,000 sq ft will typically increase by £1.50 – £2.50 per sq ft per annum by the last quarter of 2020 across most of the London ...",Business
68,Royal Navy warship from Portsmouth prepares for three-year mission to the Gulf,HMS Chiddingfold pictured at Portsmouth Naval Base as she undergoes final preparations for a three-year mission to the Gulf. Photo: Royal Navy. Minehunter HMS Chiddingfold has entered the dry dock in Portsmouth Naval Base ahead of her next major deployment. Mine Counter Measures 2 Crew 1 – known as the Fighting Aces – are currently based on ...,World
114,BAM starts hunt for new CEO,"18 hours Royal BAM Group has started the search for a new CEO following a decision that Rob van Wingerden will hand over the helm in April. The group’s supervisory board has announced that, by mutual agreement, it has been decided that Van Wingerden will not be nominated for a further term as CEO and member of the executive board. The company ...",Business
50,Here are the best signs from yesterday’s York Climate Strike,"On Friday 14 th February, crowds gathered in St Helen’s Square to protest in the Global Climate Strike. Activists from YouthStrike4Climate, Extinction Rebellion, University College Union and Socialist Alternative (among many others) lead the rally around town, with angry and passionate protesters of all ages and backgrounds marching behind them.",World
360,Government launches new business support campaign,"The government has today (17 February 2020) launched a new business support campaign, designed to help businesses to find the right support as part of our ambition to make the UK the best place in the world to work and grow a business. As part of the ...",Politics
28,"Two mums and their daughters, 12, killed in crash after 'drunk driver swerves lanes'","Former volleyball stars Carrie Urton McCaw, 44, and Lesley Drury Prather, also 44, died alongside youngsters Kacey McCaw and Rhyan Prather Two mums and their 12-year-old daughters have been killed in a crash after a suspected drunk driver crossed lanes and crashed into their van. Former volleyball stars Carrie Urton McCaw, 44, and Lesley Drury ...",World
616,Baby dies and woman fights for life after Wales car crash,A baby boy has died and a woman is fighting for her life after their car was involved in a crash in Wales yesterday. North Wales Police were called to the scene on the A55 near Gwalchmai on Anglesey at around 2pm to a collision between between a Ford Mondeo and an HGV. The 21-month-old boy was pronounced dead at the scene. The female front seat ...,UK
32,Indian students forced to strip in ‘period-shaming’ exercise,"The college wanted the young women to prove they were not menstruating, as female students are barred from entering the temple and kitchen during their periods Sometimes, it really doesn’t feel like 2020. Last week, college students living in a hostel in the western Indian state of Gujarat were made to strip and show their underwear to female ...",World
191,Isle of Wight event for visually impaired: Find out more about support and services at this one day event,"Sight for Wight have pulled together a range of exhibitors and information of support and services available all in one place Sight for Wight is the independent local sight loss charity for the Island and provides advice, social activities, audio library and the talking newspaper to Island residents who are blind or partially sighted.",Entertainment
264,Ozzy Osbourne cancels US tour to undergo medical treatment,"Ozzy Osbourne has cancelled his North American tour to undergo medical treatment. The 71-year-old heavy metal star recently revealed he has been diagnosed with Parkinson’s disease and had previously been recovering from injuries sustained in a fall at home. He had been set to embark on the US leg of his No More Tours 2 tour in May, but will ...",Health
